source_dataset,scenario_id,simulation_id,timestamp,node_id,original_attack_name,attack_type,position_x,position_y,speed,direction,acceleration,packet_sent,packet_received,packet_drop_ratio,latency,retransmission_count,signal_strength,trust_score,neighbor_trust_score_avg,historical_trust_score,is_malicious,false_packet_injection,blackhole_attack_attempts,sybil_attack_attempts,denial_of_service
VeReMi,LuST_urban_high,veremi_type1,25246.608,ve_veremi_type1_955,Normal,normal,6085.752,5734.473,0.0,0.0,-0.242,461,11,0.9761,11.4,6,-53.3,0.7153,0.7621,0.7188,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25250.608,ve_veremi_type1_955,Normal,normal,6085.752,5734.473,0.0,0.0,0.0,501,12,0.976,1.4,7,-43.84,0.7129,0.7621,0.7153,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25254.608,ve_veremi_type1_955,Normal,normal,6085.752,5734.473,0.0,0.0,0.0,541,13,0.976,9.6,7,-38.95,0.7112,0.7621,0.7129,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25257.608,ve_veremi_type1_955,Normal,normal,6085.752,5734.473,0.0,0.0,0.0,571,14,0.9755,12.0,7,-43.49,0.71,0.7621,0.7112,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25261.608,ve_veremi_type1_955,Normal,normal,6085.752,5734.473,0.0,0.0,0.0,611,15,0.9755,7.2,7,-42.88,0.7092,0.7621,0.71,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25265.608,ve_veremi_type1_955,Normal,normal,6085.752,5734.473,0.0,0.0,0.0,651,16,0.9754,14.4,8,-45.03,0.7087,0.7621,0.7092,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25268.608,ve_veremi_type1_955,Normal,normal,6085.752,5734.473,0.0,0.0,0.0,681,17,0.975,1.6,7,-49.43,0.7083,0.7621,0.7087,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25272.608,ve_veremi_type1_955,Normal,normal,6085.752,5734.473,0.0,0.0,0.0,721,18,0.975,3.6,7,-43.3,0.7081,0.7621,0.7083,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25275.608,ve_veremi_type1_955,Normal,normal,6085.752,5734.473,0.0,0.0,0.0,751,19,0.9747,10.6,6,-44.94,0.7079,0.7621,0.7081,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25279.608,ve_veremi_type1_955,Normal,normal,6085.752,5734.473,0.0,0.0,0.0,791,20,0.9747,8.4,8,-43.8,0.7078,0.7621,0.7079,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25283.608,ve_veremi_type1_955,Normal,normal,6085.752,5734.473,0.0,0.0,0.0,831,21,0.9747,5.0,7,-30.0,0.701,0.7621,0.7078,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25287.608,ve_veremi_type1_955,Normal,normal,6085.752,5734.473,0.0,0.0,0.0,871,22,0.9747,12.8,8,-51.06,0.703,0.7621,0.701,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25290.608,ve_veremi_type1_955,Normal,normal,6086.322,5734.517,1.611,4.43,0.537,901,23,0.9745,8.4,7,-33.04,0.6976,0.7621,0.703,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25293.608,ve_veremi_type1_955,Normal,normal,6094.227,5747.798,8.696,92.87,2.362,931,24,0.9742,2.5,8,-30.0,0.6939,0.7631,0.6976,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25295.608,ve_veremi_type1_955,Normal,normal,6093.109,5770.108,13.318,92.87,2.311,951,25,0.9737,3.1,7,-56.76,0.6981,0.7693,0.6939,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25299.608,ve_veremi_type1_955,Normal,normal,6091.199,5808.231,4.11,92.87,-2.302,991,26,0.9738,13.4,7,-39.74,0.701,0.7685,0.6981,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25256.617,ve_veremi_type1_2125,Normal,normal,6170.491,5826.172,0.576,185.75,0.0,1,1,0.0,5.0,2,-44.11,1.0,0.7707,1.0,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25257.617,ve_veremi_type1_2125,Normal,normal,6168.496,5825.971,3.131,185.75,2.555,11,2,0.8182,7.6,6,-52.31,0.9264,0.7708,1.0,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25259.617,ve_veremi_type1_2125,Normal,normal,6158.832,5824.998,5.297,185.75,1.083,31,3,0.9032,3.3,5,-57.13,0.8672,0.7706,0.9264,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25261.617,ve_veremi_type1_2125,Normal,normal,6148.265,5823.933,5.629,185.75,0.166,51,4,0.9216,4.1,6,-54.74,0.8241,0.7702,0.8672,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25262.617,ve_veremi_type1_2125,Normal,normal,6142.352,5823.338,6.263,185.75,0.634,61,5,0.918,9.0,7,-49.82,0.7942,0.7695,0.8241,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25265.617,ve_veremi_type1_2125,Normal,normal,6117.331,5820.817,10.685,185.75,1.474,91,6,0.9341,14.5,7,-38.57,0.7719,0.7689,0.7942,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25266.617,ve_veremi_type1_2125,Normal,normal,6105.83,5819.658,12.068,185.75,1.383,101,7,0.9307,4.2,6,-52.78,0.7566,0.7687,0.7719,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25268.617,ve_veremi_type1_2125,Normal,normal,6094.822,5801.947,12.104,272.87,0.018,121,8,0.9339,11.2,7,-43.36,0.7455,0.7688,0.7566,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25269.617,ve_veremi_type1_2125,Normal,normal,6095.425,5789.912,12.052,272.87,-0.052,131,9,0.9313,1.1,8,-51.5,0.7381,0.7689,0.7455,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25271.617,ve_veremi_type1_2125,Normal,normal,6096.629,5765.897,11.983,272.87,-0.034,151,10,0.9338,9.3,7,-41.59,0.7326,0.7692,0.7381,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25272.617,ve_veremi_type1_2125,Normal,normal,6097.232,5753.848,11.988,272.87,0.005,161,11,0.9317,12.8,8,-52.69,0.729,0.7639,0.7326,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25274.617,ve_veremi_type1_2125,Normal,normal,6097.898,5729.766,12.091,269.33,0.051,181,12,0.9337,3.2,8,-56.4,0.7262,0.763,0.729,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25276.617,ve_veremi_type1_2125,Normal,normal,6097.119,5705.795,12.094,266.08,0.001,201,13,0.9353,6.6,7,-47.65,0.7242,0.7597,0.7262,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25278.617,ve_veremi_type1_2125,Normal,normal,6095.482,5681.937,12.098,266.08,0.002,221,14,0.9367,4.0,6,-55.48,0.7226,0.7574,0.7242,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25280.617,ve_veremi_type1_2125,Normal,normal,6093.843,5658.037,12.109,266.08,0.006,241,15,0.9378,4.9,6,-56.81,0.7214,0.7577,0.7226,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25282.617,ve_veremi_type1_2125,Normal,normal,6092.435,5637.511,8.223,266.08,-1.943,261,16,0.9387,15.2,6,-42.06,0.7205,0.7578,0.7214,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25284.617,ve_veremi_type1_2125,Normal,normal,6088.5,5623.303,7.432,250.87,-0.395,281,17,0.9395,5.5,8,-37.02,0.7198,0.7581,0.7205,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25285.617,ve_veremi_type1_2125,Normal,normal,6085.484,5616.002,8.548,245.0,1.116,291,18,0.9381,13.6,7,-47.24,0.7194,0.7582,0.7198,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25287.617,ve_veremi_type1_2125,Normal,normal,6078.025,5600.171,9.543,245.94,0.497,311,19,0.9389,12.9,6,-56.84,0.7191,0.7586,0.7194,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25289.617,ve_veremi_type1_2125,Normal,normal,6070.777,5583.016,8.744,247.17,-0.399,331,20,0.9396,5.4,6,-43.18,0.7188,0.7588,0.7191,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25290.617,ve_veremi_type1_2125,Normal,normal,6066.954,5573.943,10.777,247.13,2.033,341,21,0.9384,4.1,8,-52.2,0.7187,0.759,0.7188,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25292.617,ve_veremi_type1_2125,Normal,normal,6057.733,5552.013,12.107,247.17,0.665,361,22,0.9391,3.8,8,-50.38,0.7186,0.7579,0.7187,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25294.617,ve_veremi_type1_2125,Normal,normal,6048.382,5529.804,12.063,247.17,-0.022,381,23,0.9396,5.0,7,-40.31,0.7184,0.7443,0.7186,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25295.617,ve_veremi_type1_2125,Normal,normal,6043.71,5518.709,11.984,247.17,-0.079,391,24,0.9386,2.8,6,-56.34,0.7184,0.7353,0.7184,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25297.617,ve_veremi_type1_2125,Normal,normal,6034.379,5496.532,12.081,247.17,0.049,411,25,0.9392,3.6,8,-53.56,0.7184,0.7339,0.7184,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25299.617,ve_veremi_type1_2125,Normal,normal,6025.035,5474.335,12.113,247.17,0.016,431,26,0.9397,4.0,7,-47.09,0.7183,0.7335,0.7184,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25209.63,ve_veremi_type1_1333,Normal,normal,5873.085,5181.483,10.068,61.78,0.0,1,1,0.0,4.1,2,-52.67,1.0,0.7328,1.0,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25220.63,ve_veremi_type1_1333,Normal,normal,5952.502,5331.2,16.224,63.57,0.56,111,2,0.982,5.6,6,-56.36,0.9116,0.7352,1.0,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25229.63,ve_veremi_type1_1333,Normal,normal,6016.719,5463.083,16.267,67.17,0.005,201,3,0.9851,12.1,8,-51.82,0.8495,0.7328,0.9116,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25234.63,ve_veremi_type1_1333,Normal,normal,6048.32,5538.159,16.305,67.17,0.007,251,4,0.9841,10.1,7,-55.21,0.8061,0.7472,0.8495,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25238.63,ve_veremi_type1_1333,Normal,normal,6068.979,5587.245,7.769,67.17,-2.134,291,5,0.9828,5.6,7,-53.9,0.7758,0.7585,0.8061,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25241.63,ve_veremi_type1_1333,Normal,normal,6073.618,5598.263,1.361,67.17,-2.136,321,6,0.9813,14.6,6,-57.19,0.7547,0.7584,0.7758,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25246.63,ve_veremi_type1_1333,Normal,normal,6074.172,5599.577,0.0,67.17,-0.272,371,7,0.9811,4.5,7,-53.8,0.74,0.7584,0.7547,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25249.63,ve_veremi_type1_1333,Normal,normal,6074.172,5599.577,0.0,67.17,-0.0,401,8,0.98,13.2,7,-50.43,0.7298,0.7585,0.74,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25252.63,ve_veremi_type1_1333,Normal,normal,6074.172,5599.577,0.0,67.17,-0.0,431,9,0.9791,6.5,7,-51.48,0.7227,0.7585,0.7298,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25255.63,ve_veremi_type1_1333,Normal,normal,6074.172,5599.577,0.0,67.17,-0.0,461,10,0.9783,10.4,8,-51.74,0.7179,0.7585,0.7227,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25259.63,ve_veremi_type1_1333,Normal,normal,6074.172,5599.577,0.0,67.17,-0.0,501,11,0.978,5.7,6,-50.81,0.7145,0.7585,0.7179,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25263.63,ve_veremi_type1_1333,Normal,normal,6074.172,5599.577,0.0,67.17,0.0,541,12,0.9778,14.7,8,-35.58,0.7121,0.7585,0.7145,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25266.63,ve_veremi_type1_1333,Normal,normal,6074.172,5599.577,0.0,67.17,0.0,571,13,0.9772,5.2,8,-51.77,0.7105,0.7585,0.7121,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25269.63,ve_veremi_type1_1333,Normal,normal,6074.172,5599.577,0.0,67.17,-0.0,601,14,0.9767,13.4,7,-50.24,0.7095,0.7585,0.7105,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25272.63,ve_veremi_type1_1333,Normal,normal,6074.172,5599.577,0.0,67.17,-0.0,631,15,0.9762,14.7,6,-55.74,0.7088,0.7585,0.7095,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25274.63,ve_veremi_type1_1333,Normal,normal,6074.172,5599.577,0.0,67.17,0.0,651,16,0.9754,12.4,6,-51.97,0.7084,0.7585,0.7088,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25277.63,ve_veremi_type1_1333,Normal,normal,6074.172,5599.577,0.0,67.17,0.0,681,17,0.975,5.1,6,-55.47,0.7081,0.7585,0.7084,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25279.63,ve_veremi_type1_1333,Normal,normal,6074.172,5599.577,0.0,67.17,-0.0,701,18,0.9743,0.8,8,-56.4,0.708,0.7585,0.7081,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25282.63,ve_veremi_type1_1333,Normal,normal,6077.28,5606.584,5.407,65.91,1.802,731,19,0.974,8.6,8,-34.03,0.7012,0.7582,0.708,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25284.63,ve_veremi_type1_1333,Normal,normal,6083.89,5620.188,9.351,63.52,1.972,751,20,0.9734,12.9,7,-50.43,0.7032,0.7584,0.7012,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25287.63,ve_veremi_type1_1333,Normal,normal,6090.446,5656.74,15.165,86.08,1.938,781,21,0.9731,5.9,7,-47.26,0.7047,0.7577,0.7032,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25289.63,ve_veremi_type1_1333,Normal,normal,6092.488,5686.564,12.168,86.08,-1.498,801,22,0.9725,1.1,8,-54.22,0.7057,0.7573,0.7047,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25292.63,ve_veremi_type1_1333,Normal,normal,6094.027,5709.044,3.693,86.08,-2.825,831,23,0.9723,9.1,7,-47.85,0.7065,0.7596,0.7057,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25294.63,ve_veremi_type1_1333,Normal,normal,6094.295,5712.958,0.853,86.08,-1.42,851,24,0.9718,8.8,8,-53.55,0.7071,0.7605,0.7065,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25296.63,ve_veremi_type1_1333,Normal,normal,6094.351,5713.785,0.0,86.08,-0.426,871,25,0.9713,13.7,8,-33.53,0.7008,0.7606,0.7071,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25297.63,ve_veremi_type1_1333,Normal,normal,6094.351,5713.785,0.0,86.08,-0.0,881,26,0.9705,12.5,8,-57.78,0.7032,0.7606,0.7008,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25299.63,ve_veremi_type1_1333,Normal,normal,6094.351,5713.785,0.0,86.08,-0.0,901,27,0.97,1.2,6,-50.44,0.7049,0.7606,0.7032,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25237.662,ve_veremi_type1_1807,Type 1 (Constant Position),false_data_injection,5560.0,5820.0,37.072,308.37,0.0,1,1,0.0,15.3,2,-36.43,1.0,0.7604,1.0,1,1,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25247.662,ve_veremi_type1_1807,Type 1 (Constant Position),false_data_injection,5560.0,5820.0,31.091,324.22,-0.598,101,2,0.9802,4.3,7,-47.41,0.9118,0.7605,1.0,1,1,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25251.662,ve_veremi_type1_1807,Type 1 (Constant Position),false_data_injection,5560.0,5820.0,37.021,332.99,1.482,141,3,0.9787,10.9,7,-57.57,0.8502,0.7605,0.9118,1,1,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25255.662,ve_veremi_type1_1807,Type 1 (Constant Position),false_data_injection,5560.0,5820.0,37.085,342.7,0.016,181,4,0.9779,9.2,6,-57.62,0.8071,0.7605,0.8502,1,1,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25257.662,ve_veremi_type1_1807,Type 1 (Constant Position),false_data_injection,5560.0,5820.0,37.073,344.41,-0.006,201,5,0.9751,14.0,8,-54.75,0.7772,0.7605,0.8071,1,1,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25260.662,ve_veremi_type1_1807,Type 1 (Constant Position),false_data_injection,5560.0,5820.0,37.046,352.02,-0.009,231,6,0.974,14.5,8,-55.17,0.7564,0.7605,0.7772,1,1,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25262.662,ve_veremi_type1_1807,Type 1 (Constant Position),false_data_injection,5560.0,5820.0,37.094,357.78,0.024,251,7,0.9721,9.7,8,-53.37,0.742,0.7605,0.7564,1,1,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25264.662,ve_veremi_type1_1807,Type 1 (Constant Position),false_data_injection,5560.0,5820.0,36.913,0.93,-0.09,271,8,0.9705,1.8,7,-43.24,0.732,0.7605,0.742,1,1,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25266.662,ve_veremi_type1_1807,Type 1 (Constant Position),false_data_injection,5560.0,5820.0,28.964,5.9,-3.974,291,9,0.9691,15.4,8,-46.76,0.7252,0.7605,0.732,1,1,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25269.662,ve_veremi_type1_1807,Type 1 (Constant Position),false_data_injection,5560.0,5820.0,19.93,6.65,-3.011,321,10,0.9688,14.2,7,-47.49,0.7205,0.7605,0.7252,1,1,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25273.662,ve_veremi_type1_1807,Type 1 (Constant Position),false_data_injection,5560.0,5820.0,18.209,7.31,-0.43,361,11,0.9695,2.7,8,-49.45,0.7171,0.7605,0.7205,1,1,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25276.662,ve_veremi_type1_1807,Type 1 (Constant Position),false_data_injection,5560.0,5820.0,17.149,7.31,-0.353,391,12,0.9693,4.4,6,-57.74,0.7147,0.7605,0.7171,1,1,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25279.662,ve_veremi_type1_1807,Type 1 (Constant Position),false_data_injection,5560.0,5820.0,16.688,7.31,-0.154,421,13,0.9691,4.7,6,-48.36,0.7131,0.7605,0.7147,1,1,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25280.662,ve_veremi_type1_1807,Type 1 (Constant Position),false_data_injection,5560.0,5820.0,16.499,7.31,-0.188,431,14,0.9675,3.4,7,-57.73,0.7121,0.7605,0.7131,1,1,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25284.662,ve_veremi_type1_1807,Type 1 (Constant Position),false_data_injection,5560.0,5820.0,16.115,7.31,-0.096,471,15,0.9682,0.8,6,-56.3,0.7113,0.7605,0.7121,1,1,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25286.662,ve_veremi_type1_1807,Type 1 (Constant Position),false_data_injection,5560.0,5820.0,16.028,7.31,-0.043,491,16,0.9674,10.7,7,-52.11,0.7109,0.7605,0.7113,1,1,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25288.662,ve_veremi_type1_1807,Type 1 (Constant Position),false_data_injection,5560.0,5820.0,16.069,7.31,0.021,511,17,0.9667,9.9,7,-56.56,0.7106,0.7605,0.7109,1,1,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25289.662,ve_veremi_type1_1807,Type 1 (Constant Position),false_data_injection,5560.0,5820.0,16.094,7.31,0.025,521,18,0.9655,7.2,6,-54.41,0.7105,0.7605,0.7106,1,1,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25291.662,ve_veremi_type1_1807,Type 1 (Constant Position),false_data_injection,5560.0,5820.0,16.01,7.31,-0.042,541,19,0.9649,9.7,7,-48.55,0.7105,0.7605,0.7105,1,1,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25292.662,ve_veremi_type1_1807,Type 1 (Constant Position),false_data_injection,5560.0,5820.0,14.71,7.34,-1.3,551,20,0.9637,4.5,8,-57.02,0.7106,0.7605,0.7105,1,1,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25292.662,ve_veremi_type1_1807,Type 1 (Constant Position),false_data_injection,5560.0,5820.0,14.71,7.34,0.0,552,21,0.962,4.5,8,-54.22,0.7109,0.7605,0.7106,1,1,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25293.662,ve_veremi_type1_1807,Type 1 (Constant Position),false_data_injection,5560.0,5820.0,14.27,4.26,-0.44,562,22,0.9609,7.0,8,-56.35,0.7111,0.7605,0.7109,1,1,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25295.662,ve_veremi_type1_1807,Type 1 (Constant Position),false_data_injection,5560.0,5820.0,14.136,4.26,-0.067,582,23,0.9605,0.5,8,-58.88,0.7113,0.7605,0.7111,1,1,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25296.662,ve_veremi_type1_1807,Type 1 (Constant Position),false_data_injection,5560.0,5820.0,14.236,4.26,0.099,592,24,0.9595,9.3,7,-46.86,0.7116,0.7605,0.7113,1,1,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25297.662,ve_veremi_type1_1807,Type 1 (Constant Position),false_data_injection,5560.0,5820.0,14.227,5.14,-0.008,602,25,0.9585,14.9,7,-50.14,0.7119,0.7605,0.7116,1,1,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25298.662,ve_veremi_type1_1807,Type 1 (Constant Position),false_data_injection,5560.0,5820.0,14.186,6.59,-0.042,612,26,0.9575,14.2,8,-51.38,0.7121,0.7605,0.7119,1,1,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25299.662,ve_veremi_type1_1807,Type 1 (Constant Position),false_data_injection,5560.0,5820.0,14.222,6.59,0.036,622,27,0.9566,1.4,6,-56.45,0.7124,0.7605,0.7121,1,1,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25285.688,ve_veremi_type1_2551,Normal,normal,6164.154,5825.534,1.439,185.75,0.0,1,1,0.0,11.5,2,-56.78,1.0,0.7706,1.0,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25285.688,ve_veremi_type1_2551,Normal,normal,6164.154,5825.534,1.439,185.75,0.0,2,2,0.0,11.5,2,-50.3,1.0,0.7706,1.0,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25286.688,ve_veremi_type1_2551,Normal,normal,6161.382,5825.255,3.68,185.75,2.241,12,3,0.75,11.3,6,-43.84,0.9325,0.7707,1.0,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25286.688,ve_veremi_type1_2551,Normal,normal,6161.382,5825.255,3.68,185.75,0.0,13,4,0.6923,11.3,5,-50.83,0.8904,0.7707,0.9325,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25287.688,ve_veremi_type1_2551,Normal,normal,6156.382,5824.751,6.236,185.75,2.556,23,5,0.7826,6.1,7,-53.71,0.8529,0.7705,0.8904,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25287.688,ve_veremi_type1_2551,Normal,normal,6156.382,5824.751,6.236,185.75,0.0,24,6,0.75,6.1,6,-55.01,0.8295,0.7705,0.8529,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25288.688,ve_veremi_type1_2551,Normal,normal,6149.452,5824.053,7.211,185.75,0.974,34,7,0.7941,7.4,5,-57.19,0.8092,0.7703,0.8295,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25288.688,ve_veremi_type1_2551,Normal,normal,6149.452,5824.053,7.211,185.75,0.0,35,8,0.7714,7.4,5,-52.79,0.797,0.7703,0.8092,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25289.688,ve_veremi_type1_2551,Normal,normal,6142.075,5823.31,7.59,185.75,0.379,45,9,0.8,3.4,7,-39.98,0.7859,0.7695,0.797,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25289.688,ve_veremi_type1_2551,Normal,normal,6142.075,5823.31,7.59,185.75,0.0,46,10,0.7826,3.4,7,-47.92,0.7797,0.7695,0.7859,0,0,0,0,0
VeReMi,LuST_urban_high,veremi_type1,25290.688,ve_veremi_type1_2551,Normal,normal,6134.286,5822.525,8.043,185.75,0.454,56,11,0.8036,6.1,7,-43.8,0.7735,0.7693,0.7797,0,0,0,0,0
